Year,Country Name,Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (constant 2015 US$)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (constant 2015 US$),GDP (current US$),"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (annual % growth)","Industry (including construction), value added (constant 2015 US$)","Industry (including construction), value added (current US$)","Industry (including construction), value added per worker (constant 2015 US$)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total",Manufactures exports (% of merchandise exports),Manufactures imports (% of merchandise imports),"Manufacturing, value added (% of GDP)","Manufacturing, value added (annual % growth)","Manufacturing, value added (constant 2015 US$)","Manufacturing, value added (current US$)",Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Official exchange rate (LCU per US$, period average)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Services, value added (% of GDP)","Services, value added (annual % growth)","Services, value added (constant 2015 US$)","Services, value added (current US$)","Services, value added per worker (constant 2015 US$)"
1963,Uganda,,46.33401731645063,92580.0,540.0,1.6518813092688895,,,47.51292127415441,,,245236897.27463314,,,,,,,516147798.7421384,13.391821772727736,,,69121593.29140462,,,,,,8.232450929620942,,,42491614.2557652,176000000.0,153200000.0,114000000.0,50700000.0,0.07143000007143,,,32.76855434043115,,,169134171.9077568,
1964,Uganda,,49.41194134427706,98730.0,540.0,1.4266842800528403,,,47.243398106626806,,,278290356.39413,,,,,,,589056603.773585,12.079507438251833,,,71155136.26834382,,,,,,7.0250551640686165,,,41381551.36268344,213000000.0,185900000.0,130000000.0,91400000.0,0.07143000007143,,,31.470389351555273,,,185378406.7085954,
1965,Uganda,,49.40193183524348,98710.0,579.0,1.536624203821656,,,49.06616017727129,,,433991319.73960525,,,,,,,884502309.0692987,12.662234884457108,,,111997759.93280135,,,,,,7.9138968027856915,,,69998599.95800084,206000000.0,178600000.0,161000000.0,113400000.0,0.07143000007143,,,32.13042101930991,,,284194315.82948345,
1966,Uganda,,49.471998398478554,98850.0,824.0,2.182203389830508,,,48.03328290468987,,,444491109.7333054,,,,,,,925381491.444771,11.679273827534042,,,108077838.33515331,,,,,,7.62481089258699,,,70558588.75766486,217000000.0,187700000.0,166000000.0,120000000.0,0.07143000007143,,,32.85930408472012,,,304073918.2175557,
1967,Uganda,,49.48701266202893,98880.0,940.0,2.4920466595970305,,,45.83876103632942,,,443371132.13397735,,,,,,,967240654.2196556,11.521204226371399,,,111437771.13313735,,,,,,7.569836445216384,,,73218535.55606888,219000000.0,183400000.0,159000000.0,116100000.0,0.07143000007143,,,32.82674772036474,,,317513649.40949184,
1968,Uganda,,49.672188579150195,99250.0,1050.0,2.7777777777777777,,,44.42645074224021,,,460870782.1234776,,,,,,,1037379251.3775725,12.375168690958164,,,128377432.32297355,,,,,,8.083670715249662,,,83858322.74968502,216000000.0,215201000.0,165000000.0,163965000.0,0.07143000007143,,,32.61808367071525,,,338373232.19697607,
1969,Uganda,,49.797307442069965,99500.0,1170.0,3.0952380952380953,,,45.36959386605966,,,530169396.0818984,,,,,,,1168556627.6988661,12.806996525697855,,,149657006.7102058,,,,,,8.21852162453576,,,96038079.14237715,233000000.0,225236000.0,175000000.0,175111000.0,0.07143000007143,,,31.42446387923805,,,367212655.3796724,
1970,Uganda,,49.9474500775737,99800.0,1280.0,3.3862433862433865,,,51.02812048460598,,,642727144.8143637,,,,,,,1259554807.6442673,13.00433477825942,,,163796723.90172198,,,,,,8.691786150939201,,,109477810.33431332,282000000.0,279193000.0,172000000.0,171919000.0,0.07143000007143,,,30.85472935422919,,,388632226.9668207,
1971,Uganda,,50.19768780341324,100300.0,1400.0,3.684210526315789,,,54.045243504889854,,,765924680.7404453,,,,,,,1417191654.749685,11.943099871579571,,,169256614.69844604,,,,,,7.902795613948434,,,111997759.93280135,260000000.0,260694000.00000003,250000000.0,246561000.0,0.0714299958900811,,,29.467549145510226,,,417611647.34943306,
1972,Uganda,,50.548020619588605,101000.0,1510.0,3.922077922077922,,,54.49765258215963,,,812543796.3400787,,,,,,,1490970267.2332597,10.694835680751174,,,159456820.12945378,,,,,,7.427230046948356,,,110737791.67901486,283000000.0,283170000.0,162000000.0,161941000.0,0.07142999999,,,30.48826291079812,,,454570934.9959055,
1973,Uganda,,50.948400980931886,101800.0,1630.0,4.17948717948718,,,58.59657782165186,,,997207036.448135,,,,,,,1701817876.6058586,9.287594603487989,,,158057945.2688396,,,,,,6.531753866403422,,,111158554.95434777,291000000.0,310379000.0,163000000.0,162536000.0,0.07021449999,,,28.33168805528134,,,482153732.06898457,
1974,Uganda,,51.36880036034233,102640.0,1743.0,4.412658227848102,,,60.487705474799625,,,1269603650.024181,,,,,,,2098944967.5076911,10.657519358782775,,,223695466.242329,,,,,,7.6891726667572335,,,161391502.7318779,315000000.0,327007000.0,213000000.0,213054000.0,0.07135949999,,,25.730199701127564,,,540062731.7564961,
1975,Uganda,,52.084480256243424,104070.0,1731.0,4.3006211180124225,,,70.61593520436993,,,1666222222.2222223,,,,,,,2359555555.555556,7.981729139197589,,,188333333.33333334,,,,,,6.201732906385383,,,146333333.33333334,257000000.0,278130000.0,207000000.0,196642000.0,0.07421924999,,,19.236202674703335,,,453888888.8888889,
1976,Uganda,,52.74010309794305,105380.0,1656.0,4.066797642436149,6.788807638001558,0.6445208663747141,71.87104155600049,,,1758900000.0,,,,,,,2447300000.0,7.399991827728517,,,181100000.0,,,,0.3858297963411365,60.4811096327488,5.97801658971111,,,146300000.0,364000000.0,360553000.0,172000000.0,160276000.0,0.0826616666625,,,18.8493441752135,,,461300000.0,
1977,Uganda,,52.74010309794305,105380.0,2076.0,5.160328113348248,,,73.28725961538461,,,2152058823.529412,,,,,,,2936470588.235294,6.977163461538462,,,204882352.94117644,,,,,,5.77323717948718,,,169529411.76470587,588000000.0,564932000.0,241000000.0,246876000.0,0.0825899999933333,,,18.814102564102562,,,552470588.2352941,
1978,Uganda,,53.100445423151996,106100.0,,,,,73.65537311824095,,,1782652173.9130435,,,,,,,2420260869.5652175,5.11443250817375,,,123782608.69565217,,,,,,4.392268170876298,,,106304347.82608695,348000000.0,296561000.0,254000000.0,194461000.0,0.0773566666566667,,,20.403837171702655,,,493826086.9565217,
1979,Uganda,,53.100445423151996,106100.0,,,,,65.21779782844987,,,1395025000.0,,,,,,,2139025000.0,4.135061535045172,,,88450000.0,,,,,,3.6675588176856273,,,78450000.0,435000000.0,277656000.0,197000000.0,175352000.0,0.0748283333233333,,,30.109512511541475,,,644050000.0,
1980,Uganda,,53.450778239327356,106800.0,,,,,71.76304223813082,,,893170000.0,,,,,,,1244610000.0,4.469673230971951,,,55630000.0,,,,,,4.260772450807884,,,53030000.0,345000000.0,163020000.0,293000000.0,219243000.0,0.07416999999,9900000.0,123400000.0,23.39769084291465,,,291210000.0,
1981,Uganda,,53.85115860067064,107600.0,,,,,58.32647872579078,,,780000000.0,,,,,,,1337300000.0,6.72997831451432,,,90000000.0,,,,,,1.8694384206984223,,,25000000.0,243000000.0,265342936.3,345000000.0,328723774.8,0.500523333326667,44300000.0,100400000.0,34.77155462499065,,,465000000.0,
